Date,9988.HK,BABA
2021-08-23,151.83465576171875,158.92364501953125
2021-08-24,166.20953369140625,169.42250061035156
2021-08-25,163.813720703125,166.8570098876953
2021-08-26,161.91702270507812,163.04820251464844
2021-08-27,155.62802124023438,157.354736328125
2021-08-30,157.92401123046875,160.13731384277344
2021-08-31,165.21127319335938,164.77499389648438
2021-09-01,164.9117889404297,170.98155212402344
2021-09-02,170.70167541503906,169.71853637695312
2021-09-03,164.61231994628906,168.04107666015625
2021-09-06,167.7069091796875,
2021-09-07,169.70343017578125,172.8366241455078
2021-09-08,170.6018524169922,168.44564819335938
2021-09-09,160.71913146972656,165.10061645507812
2021-09-10,167.60708618164062,165.87026977539062
2021-09-13,160.51947021484375,163.2159423828125
2021-09-14,158.02383422851562,158.0257110595703
2021-09-15,153.73133850097656,155.76608276367188
2021-09-16,151.23570251464844,154.1873016357422
2021-09-17,154.6297607421875,157.9270477294922
2021-09-20,151.23570251464844,149.4805908203125
2021-09-21,148.44058227539062,148.18795776367188
2021-09-22,,149.87527465820312
2021-09-23,148.14109802246094,149.1845703125
2021-09-24,144.0482635498047,143.15560913085938
2021-09-27,141.65243530273438,148.18795776367188
2021-09-28,150.63673400878906,150.36863708496094
2021-09-29,148.04129028320312,145.62245178222656
2021-09-30,141.95191955566406,146.08621215820312
2021-10-01,,142.2872772216797
2021-10-04,136.76100158691406,137.7779083251953
2021-10-05,135.06396484375,141.2413330078125
2021-10-06,137.0604705810547,142.18861389160156
2021-10-07,147.04302978515625,153.93075561523438
2021-10-08,155.2287139892578,159.37754821777344
2021-10-11,167.50726318359375,161.77529907226562
2021-10-12,161.0186004638672,160.83790588378906
2021-10-13,,165.17953491210938
2021-10-14,,164.56776428222656
2021-10-15,161.51773071289062,165.77159118652344
2021-10-18,162.6157989501953,164.6072540283203
2021-10-19,164.5124969482422,174.65220642089844
2021-10-20,175.49330139160156,174.82981872558594
2021-10-21,173.59661865234375,175.06663513183594
2021-10-22,174.09573364257812,175.34292602539062
2021-10-25,173.69644165039062,173.83322143554688
2021-10-26,169.2042999267578,167.73519897460938
2021-10-27,164.2130126953125,166.9852752685547
2021-10-28,164.9117889404297,167.537841796875
2021-10-29,162.71563720703125,162.75218200683594
2021-11-01,159.22174072265625,167.9127960205078
2021-11-02,161.31808471679688,160.73922729492188
2021-11-03,160.31982421875,164.03494262695312
2021-11-04,165.3111114501953,162.60415649414062
2021-11-05,159.62103271484375,156.62454223632812
2021-11-08,157.0255889892578,160.00904846191406
2021-11-09,156.825927734375,158.065185546875
